agent_id,first_name,last_name,email,phone_number,office_location,region,specialization,secondary_specialization,experience_level,years_of_experience,hire_date,agency_type,license_number,active_clients,policy_conversion_rate,customer_satisfaction_score,annual_sales_target,ytd_sales,ytd_target_percentage,average_policy_value,commission_tier,training_completed,performance_rating,retention_rate,cross_sell_ratio
AG0028,Scott,Dalton,michelleberg@example.com,388.364.5780,"West Jenniferburgh, UT",West,Health,Small Business,Executive,12,2013-06-02,Direct,LIC-59369-ZH,105,0.61,6.2,774224,668499,86.3,3984,C,True,Below,0.78,2.3
AG0029,Brian,Curry,carolynpierce@example.org,4662672044,"Williamsville, MN",Southwest,Life,Small Business,Mid-level,13,2012-06-02,Independent,LIC-64492-lA,222,0.53,8.6,667593,640522,95.9,2477,B,True,Exceeds,0.82,1.5
AG0030,Laura,Green,sandersmorgan@example.net,(550)318-1229,"North Jessicaberg, KY",Northeast,Auto,High-value,Executive,12,2013-06-02,Direct,LIC-97952-sX,52,0.35,8.8,868216,351229,40.5,1453,C,False,Below,0.79,1.8
AG0031,Heather,Jefferson,barberpatricia@example.org,880.580.5121,"Stephaniebury, IN",Southeast,High-value,Multi-line,Junior,21,2004-06-04,Direct,LIC-42716-JF,105,0.71,7.3,689136,527261,76.5,3140,B,False,Below,0.98,1.7
AG0032,Chad,Jones,lmartinez@example.com,8232541143,"Gonzalezton, AL",West,Multi-line,Auto,Executive,12,2013-06-02,Independent,LIC-56066-Yl,144,0.87,8.7,848765,598089,70.5,3239,B,False,Below,0.84,2.1
AG0033,Thomas,Houston,mschroeder@example.com,5926208827,"North Steventon, IN",Southeast,Life,Small Business,Senior,13,2012-06-02,Direct,LIC-71369-BF,198,0.61,7.5,703139,281635,40.1,2325,A,True,Below,0.92,1.6
AG0034,Brandon,Mcmillan,meyerheather@example.net,866-346-0423,"New Theresafort, UT",Northwest,Multi-line,Small Business,Executive,7,2018-06-01,Independent,LIC-41198-Yy,114,0.64,7.7,935010,873632,93.4,2182,C,True,Exceeds,0.76,2.3
AG0035,Gabriella,Sanders,cathy43@example.com,2849183499,"Cindyton, GA",Southwest,Small Business,Farm,Junior,17,2008-06-03,Direct,LIC-63409-zp,196,0.6,7.1,890482,657404,73.8,3249,A,False,Below,0.78,2.6
AG0036,Gabriel,Perez,christopher49@example.net,446.442.1829x4972,"West Cynthia, IA",Southeast,High-value,Auto,Mid-level,5,2020-05-31,Corporate,LIC-75534-mQ,244,0.72,7.9,1107467,799410,72.2,1272,C,True,Meets,0.98,2.1
AG0037,Rebecca,Robinson,dwiggins@example.org,(438)622-3435,"New Rogerport, NE",Northwest,Multi-line,Commercial,Mid-level,16,2009-06-03,Captive,LIC-46791-qz,72,0.84,8.9,668272,717665,107.4,1580,D,False,Meets,0.83,1.3
AG0038,Ariel,Flores,michaelchavez@example.net,875-572-6005,"South Andrewhaven, AZ",Southwest,Commercial,Life,Junior,14,2011-06-03,Direct,LIC-22409-Wx,257,0.56,7.8,563639,608886,108.0,2426,B,False,Exceeds,0.88,1.4
AG0039,Selena,Garcia,tiffanyvaughn@example.com,576.502.1928x35198,"Elizabethmouth, VI",Northeast,Commercial,Farm,Senior,10,2015-06-02,Independent,LIC-49790-BL,123,0.61,8.7,690481,660369,95.6,3743,C,True,Exceeds,0.87,2.4
AG0040,Dennis,Campbell,davidgonzalez@example.org,415.338.6480x04840,"West Antonio, CT",Northwest,Home,Small Business,Executive,7,2018-06-01,Independent,LIC-82496-LV,182,0.7,8.1,849150,368877,43.4,2156,A,False,Exceeds,0.65,2.5
AG0041,Matthew,Porter,scott11@example.net,6256956826,"North Lindseybury, PR",Southeast,Home,Commercial,Senior,16,2009-06-03,Independent,LIC-31105-Hj,96,0.65,9.4,751225,737165,98.1,1521,D,False,Below,0.84,2.0
AG0042,Wayne,Peterson,patrick71@example.com,598.949.1746,"South David, VI",Northeast,High-value,Farm,Executive,18,2007-06-04,Corporate,LIC-48375-pP,145,0.79,8.9,1238675,935661,75.5,3775,D,False,Meets,0.88,0.9
AG0043,Rebecca,Barton,leewillis@example.org,+1-663-674-3414x288,"East Alicia, MI",Northeast,Small Business,Commercial,Executive,17,2008-06-03,Captive,LIC-63497-iz,196,0.79,7.3,1010873,536430,53.1,1821,D,True,Below,0.76,2.5
AG0044,Gina,Wiley,thomasgarcia@example.com,690.866.5008,"Moraleston, AR",Northeast,Home,Auto,Mid-level,17,2008-06-03,Direct,LIC-44953-zO,69,0.95,7.3,705712,304750,43.2,1523,C,True,Meets,0.87,1.2
AG0045,Kimberly,Lee,fcontreras@example.com,+1-580-516-7995x5530,"West Ruthfort, NV",Northeast,Health,Life,Junior,20,2005-06-04,Corporate,LIC-28056-mh,85,0.9,7.9,538274,383995,71.3,1640,C,True,Exceeds,0.74,1.3
AG0046,Tammy,Marquez,uperez@example.com,269-264-8399x58483,"Mariabury, NM",Northwest,Home,Auto,Junior,9,2016-06-01,Corporate,LIC-09968-RJ,148,0.76,9.7,470954,293673,62.4,2227,B,True,Below,0.84,1.9
AG0047,Connor,Watson,ryanmorgan@example.org,(434)467-4273x628,"Roseton, OK",Northeast,Health,Life,Senior,16,2009-06-03,Independent,LIC-77318-zg,120,0.52,8.9,1176706,537883,45.7,2827,A,False,Meets,0.81,1.2
AG0048,Margaret,Nguyen,paularamos@example.org,825-347-1218x91272,"New Angel, MO",Southeast,Health,Home,Junior,13,2012-06-02,Captive,LIC-21280-bZ,149,0.65,6.2,677762,301793,44.5,2254,D,True,Below,0.7,1.1
AG0049,Frank,Morrison,xchan@example.org,563.403.8276x90674,"Jonesport, PW",Northeast,Commercial,Home,Senior,5,2020-05-31,Direct,LIC-52189-hK,110,0.55,7.5,1235801,1332103,107.8,1151,A,True,Exceeds,0.75,2.0
AG0050,Steven,Arnold,oconnelljohn@example.com,676.656.2330,"North Josephview, VI",West,Farm,High-value,Senior,12,2013-06-02,Captive,LIC-44312-eu,115,0.83,7.7,643337,444897,69.2,2975,D,False,Exceeds,0.96,1.5
AG0051,Larry,Thompson,robertpowell@example.org,(575)649-2717x8138,"Bellmouth, MD",Northwest,High-value,Multi-line,Junior,15,2010-06-03,Direct,LIC-24275-VJ,153,0.67,5.6,1311797,1333590,101.7,3818,A,False,Below,0.84,0.8
AG0052,Robert,Gonzalez,john09@example.net,756.986.6233x3525,"Sandraville, AS",Southwest,Home,Small Business,Junior,22,2003-06-05,Direct,LIC-82199-El,82,0.53,8.1,1139283,663467,58.2,1055,A,False,Below,0.88,1.1
AG0053,Joseph,Douglas,ashley02@example.net,9867740015,"West Edgarburgh, SD",Northeast,High-value,Farm,Mid-level,26,1999-06-06,Captive,LIC-44754-PW,173,0.64,7.2,555008,280430,50.5,1389,C,True,Below,0.79,1.3
AG0054,Adrienne,Peterson,acampbell@example.com,400-642-4142x9770,"Port Davidmouth, WV",Northeast,Home,Small Business,Junior,13,2012-06-02,Captive,LIC-63240-Iw,134,0.65,9.3,444802,316087,71.1,3274,D,True,Below,0.9,1.2
AG0055,Christopher,Salazar,mitchellcesar@example.com,632.889.8286x8439,"Lake Laurenside, TX",Southeast,Home,Multi-line,Senior,13,2012-06-02,Independent,LIC-82919-so,253,0.41,8.5,650774,505460,77.7,1658,C,True,Exceeds,0.86,2.3
AG0056,Carolyn,Stone,fjohnson@example.com,+1-797-225-0308,"Port Matthew, ID",Northeast,Small Business,Multi-line,Senior,6,2019-06-01,Corporate,LIC-94141-cq,207,0.75,8.2,707567,505421,71.4,1693,B,False,Meets,0.94,1.9
AG0057,Shannon,Holloway,cohenjudith@example.com,797.441.5448,"Lake Richardmouth, WY",Southeast,Auto,Farm,Executive,22,2003-06-05,Captive,LIC-00210-IZ,83,0.95,8.0,332754,190455,57.2,1743,B,True,Exceeds,0.83,1.4
AG0058,Christina,Barton,ashley07@example.net,(722)335-8749x3615,"Jacobburgh, MI",West,Multi-line,Auto,Senior,9,2016-06-01,Direct,LIC-13528-tT,272,0.66,8.3,712653,535180,75.1,1471,B,False,Exceeds,0.98,1.5
AG0059,Kathryn,Cruz,lawrence82@example.net,461-817-8769,"Port Natalie, MH",Northwest,Small Business,Auto,Executive,4,2021-05-31,Independent,LIC-68741-BF,69,0.57,8.5,524725,440262,83.9,3977,C,True,Exceeds,0.94,2.6
AG0060,Bryan,Evans,lbrennan@example.com,001-229-224-7242,"Burkeland, AS",West,Home,Auto,Mid-level,13,2012-06-02,Captive,LIC-08934-vM,67,0.78,6.7,701853,509550,72.6,2863,A,False,Exceeds,0.83,1.5
AG0061,Shawn,Rojas,jnielsen@example.org,386-256-0860x94036,"Stephanieburgh, MO",Southeast,Farm,Home,Executive,19,2006-06-04,Captive,LIC-72378-hS,104,0.83,9.7,707320,297493,42.1,2866,B,True,Below,0.86,2.9
AG0062,Tiffany,Harris,barnespamela@example.org,671.935.0529,"Wonghaven, IN",Midwest,Health,Home,Senior,25,2000-06-05,Independent,LIC-13066-Pa,130,0.63,8.7,1059854,865508,81.7,2320,C,False,Below,0.86,1.3
AG0063,Shawn,Powers,floresshane@example.net,(919)258-2497x5298,"North Barbarashire, AK",Southeast,Multi-line,Auto,Executive,22,2003-06-05,Corporate,LIC-52328-Ey,98,0.75,8.9,539946,298792,55.3,1642,C,True,Meets,0.91,0.5
AG0064,William,Wilson,ievans@example.net,(951)842-2080x7397,"Kimberlyfort, NM",Southwest,Small Business,High-value,Senior,9,2016-06-01,Captive,LIC-61000-pT,58,0.37,10.0,622244,369786,59.4,3739,A,True,Meets,0.87,2.6
AG0065,Andrew,Ruiz,taylormichael@example.net,303-721-9213x592,"Port Kevin, KY",Northwest,Life,Commercial,Executive,7,2018-06-01,Independent,LIC-66301-th,73,0.61,8.3,1417057,646257,45.6,2937,C,True,Exceeds,0.86,0.9
AG0066,Jason,Smith,thomas40@example.com,946-350-7618x81895,"Moorebury, VI",Southwest,High-value,Farm,Mid-level,5,2020-05-31,Corporate,LIC-66143-NJ,202,0.72,9.7,476124,470763,98.9,2419,D,False,Below,0.72,1.6
AG0067,Lori,Walsh,marshalljennifer@example.com,+1-485-901-5140x2960,"Kimview, MH",West,High-value,Auto,Mid-level,17,2008-06-03,Direct,LIC-89735-EO,183,0.79,7.3,1080796,489945,45.3,1733,A,True,Below,0.73,0.5
AG0068,Richard,Bishop,silvaamanda@example.net,+1-615-390-4737,"New Miranda, AL",Northwest,Commercial,Health,Junior,11,2014-06-02,Direct,LIC-88762-WX,128,0.62,7.0,773120,530985,68.7,3372,D,True,Exceeds,0.72,1.8
AG0069,Rachel,Hansen,zjohnson@example.net,588.698.8885x46469,"North Cheryl, WA",Southwest,Commercial,High-value,Junior,15,2010-06-03,Corporate,LIC-74746-yG,67,0.56,9.2,881073,748508,85.0,1889,B,True,Exceeds,0.98,2.1
AG0070,Justin,Hill,brownmichelle@example.net,685.254.6170x08509,"Carlaville, AL",Northwest,Life,Small Business,Junior,20,2005-06-04,Independent,LIC-00622-Mx,108,0.65,8.8,811887,614576,75.7,1260,D,False,Exceeds,0.96,1.4
AG0071,Cassandra,Meyer,kyle61@example.org,803.370.6327,"Andrewfort, WY",West,Farm,Small Business,Executive,18,2007-06-04,Captive,LIC-39268-xq,220,0.5,8.3,568825,628717,110.5,2280,A,True,Below,0.98,1.1
AG0072,Katherine,Hall,mjarvis@example.com,001-887-592-2816x508,"East Benjaminfort, WV",Northwest,Commercial,Auto,Mid-level,6,2019-06-01,Corporate,LIC-63336-gQ,257,0.58,8.0,886360,546613,61.7,3405,D,False,Exceeds,0.87,2.5
AG0073,Michele,Garcia,owood@example.com,001-832-416-8164,"Schultzview, MT",Southeast,Auto,High-value,Mid-level,12,2013-06-02,Independent,LIC-59897-iN,49,0.83,7.8,556016,559311,100.6,4124,C,True,Meets,0.78,2.5
AG0074,Scott,Durham,ralphyoung@example.org,+1-233-729-8866,"Jacobsonhaven, DC",Southwest,Small Business,Farm,Junior,16,2009-06-03,Direct,LIC-75053-fr,188,0.57,8.9,1002573,714668,71.3,1678,C,True,Below,0.79,2.7
AG0075,Christian,Wallace,mary27@example.net,(295)536-7265x10979,"Mortonstad, AK",Northeast,Auto,Small Business,Junior,21,2004-06-04,Independent,LIC-13274-KJ,212,0.6,6.6,875611,802474,91.6,2356,A,False,Below,0.93,1.5
AG0076,Katie,Rowe,icook@example.com,333.741.6025,"Port Brandonshire, GA",Northwest,Multi-line,Auto,Junior,9,2016-06-01,Direct,LIC-79122-BG,41,0.63,7.4,1018233,913882,89.8,2532,C,False,Meets,0.91,1.8
AG0077,Mary,Martinez,dphillips@example.org,001-923-489-2848,"Michaelstad, MN",Northeast,Home,Multi-line,Mid-level,8,2017-06-01,Direct,LIC-56223-Nu,171,0.58,6.5,666614,432834,64.9,2705,B,False,Exceeds,0.9,2.1
AG0078,Kathleen,Alexander,grayshannon@example.org,+1-260-458-1446x02921,"North Jordan, LA",Northwest,Multi-line,Auto,Mid-level,22,2003-06-05,Captive,LIC-88200-os,165,0.69,8.2,578635,413116,71.4,2382,D,False,Exceeds,0.84,2.6
AG0079,Joshua,Young,ryan42@example.org,001-786-516-7332x5937,"Valdezmouth, NH",Northwest,Farm,Home,Senior,18,2007-06-04,Independent,LIC-79376-ok,52,0.67,8.5,1008249,872144,86.5,1581,D,False,Below,0.69,2.4
AG0080,Brandon,Rivera,laura97@example.com,5594173254,"West Bridgetstad, PW",Southeast,Auto,Health,Junior,4,2021-05-31,Corporate,LIC-67007-Jy,71,0.65,5.9,575908,351777,61.1,2311,D,False,Below,0.73,2.0
AG0081,Gary,Miller,gabrielho@example.net,511-451-5187,"Jeffreyburgh, VI",Southwest,Home,Life,Executive,13,2012-06-02,Corporate,LIC-12500-eH,232,0.64,9.1,1107547,1181552,106.7,1321,C,False,Exceeds,0.85,1.1
AG0082,Brenda,Perez,olsonsamuel@example.org,820-585-8855,"Morrisonfurt, MN",Southeast,Auto,Multi-line,Executive,13,2012-06-02,Direct,LIC-16232-sd,25,0.38,7.4,877323,1031061,117.5,4314,B,True,Meets,0.86,1.6
AG0083,Michael,Singh,bakerjeffrey@example.com,434-831-2870x0236,"North James, GA",Southeast,Multi-line,Life,Senior,5,2020-05-31,Captive,LIC-13296-Ca,28,0.53,7.4,1435541,1514237,105.5,2698,B,False,Exceeds,0.88,2.3
AG0084,William,Mcgrath,patrickdavis@example.net,6092064387,"Christopherstad, MH",Southwest,Auto,Health,Executive,9,2016-06-01,Direct,LIC-37841-zA,266,0.93,6.5,1312705,1477782,112.6,2156,D,False,Meets,0.81,2.3
AG0085,Julie,Reed,pmoses@example.org,372.544.2731x8202,"South Michaelshire, ND",Southeast,High-value,Multi-line,Senior,9,2016-06-01,Captive,LIC-53164-mq,124,0.58,7.7,891249,985713,110.6,1638,C,True,Meets,0.71,0.8
AG0086,Melissa,Donaldson,watsonkevin@example.org,(985)996-1421,"Kellyfurt, PA",Southeast,High-value,Health,Mid-level,27,1998-06-06,Corporate,LIC-69619-wD,96,0.6,9.2,1195090,1110374,92.9,2790,A,True,Exceeds,0.84,2.0
AG0087,Brendan,Avery,steve36@example.net,(352)674-8744x94152,"West Samanthaton, KY",Northwest,Farm,Auto,Junior,15,2010-06-03,Independent,LIC-79006-Uq,263,0.49,7.3,821832,366024,44.5,2164,D,True,Exceeds,0.8,0.7
AG0088,Isaac,Baldwin,kperez@example.org,967.867.0968x62998,"Kimstad, FM",Northeast,Commercial,Life,Mid-level,14,2011-06-03,Independent,LIC-05850-iK,175,0.51,8.2,1417500,698176,49.3,2124,C,True,Meets,0.79,1.9
AG0089,Eric,Harper,lyoung@example.org,001-449-656-2086x6141,"Mclaughlinmouth, VT",Midwest,Auto,Farm,Executive,12,2013-06-02,Direct,LIC-81152-ai,96,0.71,6.1,928313,378476,40.8,1236,A,False,Meets,0.98,1.8
AG0090,Troy,Green,myersjennifer@example.net,752.227.3352x948,"Anthonyberg, IL",Southwest,Auto,Farm,Senior,2,2023-05-31,Direct,LIC-99720-jv,129,0.64,8.1,660891,308962,46.7,1778,C,True,Meets,0.9,1.4
AG0091,Chad,Hernandez,elizabeth20@example.net,+1-832-402-1737x188,"Fosterton, MN",Northwest,Health,High-value,Junior,6,2019-06-01,Corporate,LIC-14676-BV,166,0.74,8.2,863615,499780,57.9,2108,B,True,Below,0.78,1.9
AG0092,Sarah,Gill,robert92@example.net,391.312.1805,"Powersstad, VT",Southeast,High-value,Farm,Executive,11,2014-06-02,Captive,LIC-99137-yl,194,0.33,6.1,1047918,560763,53.5,3118,A,False,Meets,0.8,1.6
AG0093,Travis,Bond,jameswillis@example.com,515.777.2913,"Johnnyville, MP",Northwest,Auto,Commercial,Executive,9,2016-06-01,Captive,LIC-94429-uh,114,0.83,9.2,1305578,1337457,102.4,2675,B,False,Meets,0.76,1.8
AG0094,Henry,Steele,donnapayne@example.net,001-241-422-7463x356,"Martinezhaven, KY",Northeast,Multi-line,Life,Senior,11,2014-06-02,Corporate,LIC-11129-iu,264,0.74,8.3,672873,460622,68.5,2406,D,False,Below,0.79,1.3
AG0095,Jeffrey,Mooney,perezmichael@example.com,325.448.0479x81734,"Lake Emily, VI",Northwest,Commercial,Health,Executive,6,2019-06-01,Direct,LIC-94959-VV,272,0.59,8.2,725822,624863,86.1,2797,C,True,Below,0.81,1.9
AG0096,Edward,Dorsey,jcortez@example.net,8242047025,"Port Jennaland, UT",Southeast,Farm,Auto,Mid-level,11,2014-06-02,Direct,LIC-63956-QN,115,0.74,7.9,555470,650295,117.1,2539,D,False,Exceeds,0.95,1.7
AG0097,Angelica,Hester,burchbrooke@example.com,+1-575-476-1174x05914,"Jasmineville, AL",Midwest,Health,Multi-line,Mid-level,7,2018-06-01,Independent,LIC-12781-zU,105,0.84,7.7,786079,808023,102.8,1094,D,True,Meets,0.93,1.9
AG0098,Marvin,Shaffer,christopherbarnett@example.net,(928)989-1131,"New Christopherbury, SC",West,Auto,Home,Senior,12,2013-06-02,Corporate,LIC-60635-cg,161,0.64,10.0,1014887,1032048,101.7,4579,C,True,Below,0.65,2.0
AG0099,Christina,Davis,caseychristian@example.org,+1-976-973-5454,"East James, PR",Southwest,Health,Farm,Mid-level,8,2017-06-01,Captive,LIC-99049-SV,262,0.81,8.1,423605,327987,77.4,4686,B,False,Exceeds,0.72,2.4
AG0100,Scott,Shaw,danielclark@example.org,(370)983-2704x0730,"South Janetside, WY",Southeast,Auto,Home,Senior,7,2018-06-01,Independent,LIC-32005-CL,101,0.55,8.2,948594,918603,96.8,1569,D,False,Exceeds,0.89,1.7
AG0101,Albert,Rogers,jaredsimmons@example.com,999.893.7460,"Harrismouth, CT",Northwest,Health,High-value,Junior,16,2009-06-03,Direct,LIC-08071-zX,217,0.88,8.2,967528,1042568,107.8,1580,A,True,Exceeds,0.82,2.2
AG0102,Amy,Stark,juliantaylor@example.com,(722)855-8363x234,"New Zacharytown, VI",Southwest,Small Business,Farm,Junior,23,2002-06-05,Corporate,LIC-29445-kB,67,0.7,8.0,1302247,1307970,100.4,4387,A,True,Exceeds,0.86,1.7
AG0103,Andrew,Daniels,perrydana@example.org,(682)432-4717,"West Olivia, OK",West,Small Business,Multi-line,Executive,11,2014-06-02,Independent,LIC-87317-lB,183,0.93,8.7,1314951,923720,70.2,1622,C,True,Below,0.8,1.5
AG0104,Alexis,Fuller,bfoster@example.org,924.815.2207x788,"North Amyhaven, NC",West,Small Business,Multi-line,Mid-level,14,2011-06-03,Independent,LIC-10834-bg,94,0.56,7.5,1152383,801615,69.6,2476,C,False,Below,0.79,1.6
AG0105,Robin,Gallagher,krystaltorres@example.com,905-700-1334,"Tracishire, MA",Northwest,Auto,Multi-line,Senior,9,2016-06-01,Direct,LIC-80956-Ii,102,0.78,8.0,645837,588289,91.1,3213,A,True,Below,0.91,2.1
AG0106,Barbara,Miller,marshnatasha@example.net,(819)828-1341,"West Kaylaport, CT",Northwest,Commercial,Health,Senior,24,2001-06-05,Corporate,LIC-06192-gV,124,0.59,9.5,1060943,891646,84.0,1741,D,True,Below,0.77,1.2
AG0107,Kristen,Koch,tandrews@example.com,672.842.4649,"Brianfort, AZ",West,Health,Multi-line,Executive,6,2019-06-01,Captive,LIC-20745-FW,221,0.82,8.5,557071,276219,49.6,2306,B,False,Meets,0.83,1.6
AG0108,Sara,Harris,carolflynn@example.org,+1-527-308-3606,"Port Ashley, DE",Northeast,Life,Health,Senior,9,2016-06-01,Independent,LIC-76999-HX,205,0.54,7.4,918391,1093409,119.1,1998,A,False,Exceeds,0.82,2.3
AG0109,Stephanie,Murphy,sydney15@example.org,+1-713-291-4961x2744,"Mariaville, WA",Midwest,Home,Auto,Executive,7,2018-06-01,Corporate,LIC-39831-uM,156,0.8,6.6,673268,520460,77.3,1650,A,True,Meets,0.77,2.6
